ID	EN
367	loss
368	budget deficit
369	deflation
370	clearing of land
371	degradation of the environment
372	job access
373	school age
374	delinquency
375	juvenile delinquency
376	job application
377	consumer demand
378	energy demand
379	resignation of the government
380	agency abroad
381	democracy
382	people's democracy
383	democratisation
384	democratisation of education
385	demography
386	denaturing
387	perishable goods
388	Euratom Supply Agency
389	population density
390	department (France)
391	overseas department (France)
392	expenditure
393	food expenditure
394	budgetary expenditure
395	press agency
396	consumption expenditure
397	administrative expenditure
398	extra-budgetary expenditure
399	national expenditure
400	non-compulsory expenditure
401	compulsory expenditure
402	operational expenditure
403	public expenditure
404	depoliticisation
405	depopulation
406	deportee
407	sales agent
408	bank deposit
409	capital depreciation
410	deregulation
411	disarmament
412	man-made disaster
413	natural disaster
414	job description
415	desert
416	desertification
417	dehydration
418	withdrawal of candidacy
419	civil disobedience
420	destruction of crops
421	European Association of National Productivity Centres
422	strait
423	external debt
424	public debt
425	Upper House
426	devaluation
427	economic development
428	Nuclear Energy Agency
429	industrial development
430	integrated development
431	regional development
432	social development
433	foreign currency
434	diabetes
435	North-South relations
436	dictatorship
437	regional agency
438	dictionary
439	cultural difference
440	international dispute
441	dissemination of information
442	dissemination of culture
443	limited circulation
444	selective dissemination of information
445	size of business
446	diploma
447	board of management
448	directive
449	directive (EU)
450	voting discipline
451	record library
452	speech
453	access to information
454	sexual discrimination
455	economic discrimination
456	linguistic discrimination
457	political discrimination
458	racial discrimination
459	religious discrimination
460	price disparity
461	economic disparity
462	regional disparity
463	preservative
464	medical centre
465	food resources
466	available energy resources
467	driving mechanism
468	safety device
469	signalling device
470	dissidence
471	dissolution of parliament
472	deterrent
473	distillation
474	distributive trades
475	energy distribution
476	water supply
477	electricity supply
478	exclusive distribution agreement
479	product diversification
480	diversification of exports
481	supervisor
482	international division of labour
483	divorce
484	Djibouti
485	legal doctrine
486	document
487	audiovisual document
488	identity document
489	document for discussion at a sitting
490	built-up area
491	customs document
492	official document
493	parliamentary document
494	documentation
495	Dodecanese
496	Dominica
497	damage
498	war damage
499	damages
500	donation
501	gift
502	customs
503	Dubai
504	double taxation
505	dual nationality
506	holding of two jobs
507	rural settlement
508	provisional twelfth
509	dredging
510	drainage
511	Drenthe
512	right to education
513	right to information
514	right to culture
515	urban centre
516	right to justice
517	administrative law
518	air law
519	anti-dumping duty
520	right to work
521	law of banking
522	law on negotiable instruments
523	civil law
524	commercial law
525	EU law
526	political unrest
527	constitutional law
528	customary law
529	copyright
530	registration tax
531	right to stopover
532	right of establishment
533	right to strike
534	energy law
535	environmental law
536	economic aggregate
537	law of outer space
538	rights of the individual
539	competition law
540	family law
541	law of war
542	law of the sea
543	right to demonstrate
544	fishing rights
545	access to a profession
546	right of pre-emption
547	right of repossession
548	right to vote
549	insurance law
550	patent law
551	law of states
552	rights of aliens
553	rights of minorities
554	company law
555	transport law
556	housing law
557	labour law
558	electoral law
559	part-time farming
560	financial legislation
561	tax law
562	international tax law
563	forestry legislation
564	international human rights law
565	international law
566	private international law
567	public international law
568	organic farming
569	maritime law
570	matrimonial law
571	national law
572	nuclear law
573	criminal law
574	economic offence
575	international criminal law
576	private law
577	commercial farming
578	public law
579	agrarian law
580	social legislation
581	territorial law
582	political right
583	civil rights
584	human rights
585	women's rights
586	contract farming
587	special drawing rights
588	dumping
589	life expectancy
590	length of studies
591	length of lease
592	working time
593	legal working time
594	AAMS countries
595	group farming
596	East of England
597	water
598	EU waters
599	percolation water
600	bathing water
601	spirits
602	freshwater
603	inland waters
604	hill farming
605	international waters
606	mineral water
607	drinking water
608	saltwater
609	groundwater
610	surface water
611	territorial waters
612	wastewater
613	agricultural trade
614	trading operation
615	subsistence farming
616	exchange of information
617	exchange of publications
618	extra-EU trade
619	intra-EU trade
620	trade by group of countries
621	trade by country
622	trade by product
623	sampling
624	extensive farming
625	pay scale
626	lighting
627	school abroad
628	European school
629	international school
630	nursery school
631	national school
632	ecology
633	ecologism
634	econometrics
635	market access
636	intensive farming
637	economy
638	agricultural economics
639	collectivised economy
640	concerted economic action
641	economies of scale
642	energy saving
643	war economy
644	business administration
645	Mediterranean agriculture
646	market economy
647	subsistence economy
648	transport economics
649	controlled economy
650	housekeeping economy
651	forestry economics
652	industrial economy
653	world economy
654	mixed economy
655	national economy
656	agri-foodstuffs
657	planned economy
658	post-industrial economy
659	public economy
660	regional economy
661	underground economy
662	urban economy
663	Scotland
664	ecosystem
665	euro
666	agro-industry
667	publishing
668	education
669	home education
670	art education
671	comparative education
672	basic education
673	mass education
674	adult education
675	education of foreigners
676	non-formal education
677	continuing education
678	physical education
679	pre-school education
680	health education
681	sex education
682	special education
683	sweetener
684	number of pupils
685	agronomy
686	radioactive effluent
687	equal pay
688	equal treatment
689	equality before the law
690	Egypt
691	El Salvador
692	market enlargement
693	citrus fruit
694	registration of voters
695	election
696	early election
697	European election
698	indirect election
699	local election
700	national election
701	parliamentary election
702	by-election
703	International Development Association
704	presidential election
705	primary election
706	electorate
707	electrochemistry
708	electrometallurgy
709	electronics
710	electrotechnology
711	livestock farming
712	economic support
713	free-range farming
714	crustacean farming
715	intensive livestock farming
716	pupil
717	right to stand for election
718	waste disposal
719	emancipation
720	packaging
721	pasture fattening
722	bottling
723	employment aid
724	emigration
725	Emilia-Romagna
726	United Arab Emirates
727	United Arab Emirates countries
728	issue of securities
729	issuing of currency
730	transport accident
731	designated employment
732	white-collar worker
733	office worker
734	public service employee
735	employer
736	borrowing
737	foreign aid
738	EU borrowing
739	international loan
740	public borrowing
741	food emulsifier
742	indebtedness
743	wave energy
744	soft energy
745	export aid
746	hard energy
747	electrical energy
748	wind energy
749	geothermal energy
750	hydraulic energy
751	hydroelectric power
752	tidal energy
753	nuclear energy
754	renewable energy
755	aid per hectare
756	solar energy
757	thermal energy
758	child
759	abandoned child
760	child of migrant
761	natural child
762	only child
763	commitment of expenditure
764	fertiliser
765	chemical fertiliser
766	investment aid
767	organic fertiliser
768	fattening
769	political kidnapping
770	economic survey
771	consumer survey
772	social survey
773	data recording
774	documentary reference recording
775	building subsidy
776	fuel enrichment
777	teacher
778	teaching
779	distance learning
780	agricultural education
781	programmed learning
782	denominational education
783	language teaching
784	general education
785	free education
786	modernisation aid
787	secular education
788	medical training
789	compulsory education
790	paramedical training
791	multidisciplinary education
792	postgraduate education
793	primary education
794	private education
795	vocational education
796	public education
797	production aid
798	scientific education
799	secondary education
800	higher education
801	technical education
802	restrictive trade practice
803	horizontal agreement
804	unlawful agreement
805	international cartel
806	vertical agreement
807	food aid
808	mutual assistance among farmers
809	non-tariff barrier
810	tariff barrier
811	technical barrier
812	customs warehouse
813	type of business
814	craft business
815	distribution business
816	joint venture
817	rental business
818	transport company
819	foreign enterprise
820	European undertaking
821	family business
822	trust company
823	real estate business
824	sole proprietorship
825	occupational accident
826	aid to disadvantaged groups
827	industrial enterprise
828	multinational enterprise
829	private sector
830	public sector
831	maintenance
832	crop maintenance
833	physical environment
834	savings
835	aid to undertakings
836	compulsory saving
837	epidemic
838	epidemiology
839	Epirus
840	exhaustion of resources
841	Ecuador
842	equidae
843	budgetary equilibrium
844	ecological balance
845	bilateral aid
846	agricultural equipment
847	community facilities
848	vehicle parts
849	electronic equipment
850	industrial equipment
851	sociocultural facilities
852	ECSC aid
853	sports facilities
854	equivalence of diplomas
855	ergonomics
856	volcanic eruption
857	slavery
858	discounting
859	air space
860	European judicial area
861	green area
862	EU aid
863	Spain
864	regions of Spain
865	protected species
866	industrial espionage
867	testing
868	nuclear test
869	Extremadura
870	supplementary aid for products
871	establishment
872	special-status institution
873	educational institution
874	institution of public utility
875	drawing up of the budget
876	medical institution
877	penal institution
878	public institution
879	tin
880	gold-exchange standard
881	emergency aid
882	gold standard
883	State
884	civil status
885	rule under emergency powers
886	state of emergency
887	Welfare State
888	United States
889	State aid
890	ethanol
891	Ethiopia
892	ethnology
893	labelling
894	feasibility study
895	market research
896	work study
897	student
898	foreign student
899	economic aid
900	Eurocredit
901	Eurocurrency
902	Eurodollar
903	Eurobond
904	Euromarket
905	Eurocommunism
906	Eurocontrol
907	Euroright
908	Eurogroup (NATO)
909	Europe
910	aid in kind
911	Northern Europe
912	Southern Europe
913	Western Europe
914	Eastern Europe
915	Community fisheries
916	eutrophication
917	budgetary assessment
918	project evaluation
919	evaluation of resources
920	offal
921	nuclear accident
922	financial aid
923	technology assessment
924	tax avoidance
925	examination
926	agricultural surplus
927	exclusion from treatment (EU)
928	project management
929	implementation of the budget
930	enforcement of ruling
931	exemption from restrictive-practice authorisation
932	tariff exemption
933	financial year
934	brain drain
935	tax exemption
936	farmer
937	agricultural holding
938	State farm
939	mixed farm
940	exploitation of the seas
941	exploitation of resources
942	family farming
943	forestry holding
944	dairy farm
945	explosive
946	export
947	export of capital
948	expropriation
949	multilateral aid
950	removal
951	extra-territoriality
952	mining extraction
953	extradition
954	extreme right
955	extreme left
956	Far East
957	invoicing
958	non-refundable aid
959	low income
960	bankruptcy
961	hunger
962	type of tenure
963	owner farming
964	mixed tenure
965	family
966	large family
967	family by marriage
968	FAO
969	private aid
970	cereal flour
971	Fascism
972	animal life
973	European Monetary Cooperation Fund
974	fertility
975	housewife
976	regional aid
977	female migrant
978	EAGGF
979	EAGGF Guarantee Section
980	EAGGF Guidance Section
981	iron
982	tenant farming
983	collective farm
984	model farm
985	ferryboat
986	health aid
987	IFLA
988	wood fibre
989	glass fibre
990	textile fibre
991	International Federation for Documentation
992	International Fund for Agricultural Development
993	Fiji
994	foot-and-mouth disease
995	sectoral aid
996	wire
997	fishing net
998	subsidiary
999	joint subsidiary
1000	financing
1001	short-term financing
1002	long-term financing
1003	medium-term financing
1004	welfare
1005	EU financing
1006	compensatory financing
1007	supplementary financing
1008	financing of aid
1009	industrial financing
1010	export financing
1011	party financing
1012	budget financing
1013	election financing
1014	national financing
1015	excise duty
1016	international finance
1017	local authority finances
1018	public finance
1019	Finland
1020	Funen (county)
1021	tax system
1022	Unicef
1023	nuclear fission
1024	International Energy Agency
1025	fixing of prices
1026	wage determination
1027	Province of West Flanders
1028	Province of East Flanders
1029	cereal flakes
1030	plant life
1031	floriculture
1032	rafting
1033	aircraft fleet
1034	International Atomic Energy Agency
1035	fishing fleet
1036	inland waterway fleet
1037	merchant fleet
1038	cyclical fluctuation
1039	price fluctuation
1040	economic fluctuation
1041	structural fluctuation
1042	fluorine
1043	International Monetary Fund
1044	International Social Security Association
1045	UN Population Fund
1046	civil service
1047	civil servant
1048	European official
1049	inshore grounds
1050	sea-bed
1051	foundation
1052	fund (EU)
1054	common fund
1055	goodwill
1056	European Regional Development Fund
1057	working capital
1058	European Monetary Fund
1059	cast-iron
1060	drilling
1061	offshore drilling
1062	adjournment
1063	forest
1064	classified forest
1065	high forest
1066	coppiced woodland
1067	natural forest
1068	forest plantation
1069	customs formalities
1070	management training
1071	teacher training
1072	price formation
1073	in-service training
1074	vocational training
1075	currency adjustment
1076	form
1077	furnace
1078	supplier
1079	provision of documents
1080	legal expenses
1081	school fees
1082	election expenses
1083	overheads
1084	pharmaceutical expenses
1085	France
1086	French overseas department and region
1087	French overseas collectivity
1088	regions of France
1089	Franche-Comté
1090	franchising
1091	exemption from customs duties
1092	fraud
1093	electoral fraud
1094	ALADI
1095	tax evasion
1096	Frederiksberg municipality
1097	Frederiksborg (county)
1098	school attendance
1099	freight rate
1100	Friuli-Venezia Giulia
1101	Friesland
1102	cheese
1103	semi-soft cheese
1104	hard cheese
1105	ALADI countries
1106	soft cheese
1107	blue-veined cheese
1108	sheep's milk cheese
1109	goats’ milk cheese
1110	cows’ milk cheese
1111	processed cheese
1112	fresh cheese
1113	cheese factory
1114	frontier
1115	fruit
1116	nut
1117	stone fruit
1118	pip fruit
1119	fresh fruit
1120	tropical fruit
1121	Al Fujayrah
1122	merger
1123	nuclear fusion
1124	Gabon
1125	Albania
1127	Galicia
1128	Gambia
1129	guarantee
1130	credit guarantee
1131	guaranteed income
1132	investment protection
1133	child care
1134	alcohol
1135	wastage
1136	GATT
1137	political left
1138	leftism
1139	gas
1140	combustion gases
1141	natural gas
1142	gas pipeline
1143	chemical alcohol
1144	set-aside
1145	civil engineering
1146	heifer
1147	geochemistry
1148	geography
1149	economic geography
1150	political geography
1151	geology
1152	geophysics
1153	gerontology
1154	management
1155	management accounting
1156	business management
1157	area management
1158	waste management
1159	fishery management
1160	management of resources
1161	logistics
1162	alcoholism
1163	personnel administration
1164	financial management
1165	management planning
1166	Ghana
1167	game animal
1168	Gibraltar
1169	ice
1170	glucose
1171	gulf
1172	government
1173	government-in-exile
1174	rebel government
1175	food fat
1176	industrial fat
1177	Alentejo
1178	large business
1179	large holding
1180	Greater Antilles
1181	free medical care
1182	Greece
1183	Central Greece
1184	regions of Greece
1185	Grenada
1186	strike
1187	Algarve
1188	Greenland
1189	Groningen
1190	Andean Community
1191	Andean Community countries
1192	interest group
1193	group of companies
1194	Group of Ten
1195	ADR agreement
1196	Algeria
1197	political group
1198	human rights movement
1199	buying group
1200	Economic Interest Grouping
1201	producer group
1202	ethnic group
1204	algae
1205	linguistic group
1206	groat
1207	Guadeloupe
1208	Guatemala
1209	Gelderland
1210	war
1211	civil war
1212	war of independence
1213	border war
1214	cold war
1215	nuclear war
1216	Guinea
1217	Guinea-Bissau
1218	Equatorial Guinea
1219	Guyana
1220	French Guiana
1221	habitat
1222	rural habitat
1223	urban habitat
1224	animal feedingstuffs
1225	eating habits
1226	purchasing habits
1227	Province of Hainault
1228	Haiti
1229	halogen
1230	Hamburg
1231	disabled person
1232	customs harmonisation
1233	manufactured feedingstuffs
1234	tax harmonisation
1235	Upper Normandy
1236	Burkina Faso
1237	Hawaii
1238	helicopter
1239	Hesse
1240	baby food
1241	summertime
1242	question time
1243	overtime
1244	Hinduism
1245	history
1246	histology
1247	holding company
1248	South Holland
1249	North Holland
1250	prepared foodstuff
1251	homicide
1252	approval
1253	Honduras
1254	Hong Kong
1255	Hungary
1256	psychiatric institution
1257	work schedule
1258	processed foodstuff
1259	flexible working hours
1260	horticulture
1261	hops
1262	animal oil
1263	groundnut oil
1264	olive oil
1265	fish oil
1266	heavy oil
1267	mineral oil
1268	nutrition
1269	used oil
1270	vegetable oil
1271	oil mill
1272	bailiff
1273	humanisation of work
1274	hydrocarbon
1275	hydrogen
1276	hydrogeology
1277	animal nutrition
1278	hydrology
1279	food hygiene
1280	occupational health
1281	mortgage
1282	political ideology
1283	AETR agreement
1284	human nutrition
1285	yam
1286	International Institute for Educational Planning
1287	island
1288	Ile-de-France
1289	Guam
1290	Channel Islands
1291	Cayman Islands
1292	Caroline Islands
1293	Windward Islands
1294	Faroe Islands
1295	Ionian Islands
1296	Mariana Islands
1297	Leeward Islands
1298	Turks and Caicos Islands
1299	British Virgin Islands
1300	debt reduction
1301	registration of a company
1302	immigration
1303	parliamentary immunity
1304	immunology
1305	impact of advertising
1306	imperialism
1307	business location
1308	German Democratic Republic
1309	import
1310	tax
1311	Community tax
1312	personal income tax
1313	direct tax
1314	property tax
1315	flat-rate tax
1316	indirect tax
1317	local tax
1318	Germany
1319	national tax
1320	non-personal tax
1321	tax on consumption
1322	wealth tax
1323	capital gains tax
1324	capital transfer tax
1325	tax on capital
1326	tax on income
1327	tax on profits of self-employment
1328	tax on investment income
1329	regions of Germany
1330	tax on employment income
1331	corporation tax
1332	printing
1333	accounting entry
1334	incapacity for work
1335	fire
1336	incompatibility
1337	incoterms
1338	India
1339	indemnification
1340	alloy
1341	insurance indemnity
1342	installation allowance
1343	severance pay
1344	parliamentary allowance
1345	economic independence
1346	national independence
1347	technological independence
1348	price indexing
1349	wage indexing
1350	document indexing
1351	divergence indicator
1352	economic indicator
1353	social indicator
1354	price index
1355	Indonesia
1356	industrialisation
1357	aeronautical industry
1358	aerospace industry
1359	electoral alliance
1360	food industry
1361	motor vehicle industry
1362	chemical industry
1363	film industry
1364	culture industry
1365	arms industry
1366	audiovisual industry
1367	information industry
1368	footwear industry
1369	additional benefit
1370	communications industry
1371	machine-tool industry
1372	fishing industry
1373	catering industry
1374	meat processing industry
1375	pulp and paper industry
1376	advanced technology industry
1377	processing industry
1378	beverage industry
1379	framework agreement
1380	education grant
1381	dyestuffs industry
1382	fertiliser industry
1383	plastics industry
1384	service industry
1385	telecommunications industry
1386	wood industry
1387	rubber industry
1388	leather industry
1389	death grant
1390	refrigeration industry
1391	toy industry
1392	book trade
1393	furniture industry
1394	sugar industry
1395	tobacco industry
1396	glass industry
1397	clothing industry
1398	vacuum industry
1399	maternity benefit
1400	electronics industry
1401	electrical engineering
1402	export industry
1403	clock and watch industry
1404	hotel industry
1405	information technology industry
1406	dairy industry
1407	light industry
1408	heavy industry
1409	allocation of resources
1410	mechanical engineering
1411	mining industry
1412	nuclear industry
1413	optical industry
1414	oil industry
1415	pharmaceutical industry
1416	photographic industry
1417	iron and steel industry
1418	textile industry
1419	elimination of illiteracy
1420	social inequality
1421	inflation
1422	information
1423	trade information
1424	worker information
1425	consumer information
1426	computer systems
1427	business data processing
1428	information storage and retrieval
1429	industrial data processing
1430	Alsace
1431	medical computing
1432	offence
1433	transport infrastructure
1434	industrial infrastructure
1435	engineer
1436	interference
1437	political alternation
1438	legislative initiative
1439	innovation
1440	flood
1441	failure to report for duty
1442	food inspection
1443	labour inspectorate
1444	school inspection
1445	veterinary inspection
1446	aluminium
1447	harbour installation
1448	supervisory body
1449	European Trade Union Institute
1450	ACP-EU institution
1451	EU institution
1452	financial institution
1453	political institution
1454	religious institution
1455	UN specialised agency
1456	improvement of housing
1457	judicial investigation
1458	musical instrument
1459	financial instrument
1460	EU financial instrument
1461	Institute for Latin American Integration
1462	integration of migrants
1463	economic integration
1464	European integration
1465	production improvement
1466	monetary integration
1467	political integration
1468	regional integration
1469	social integration
1470	intellectual
1471	voting intentions
1472	economic interdependence
1473	exclusion from public-sector employment
1474	agreement (EU)
1475	plant breeding
1476	interest
1477	trade intermediary
1478	Workers International
1479	Socialist International
1480	psychiatric confinement
1481	question put to a minister
1482	interpreting
1483	soil improvement
1484	interpretation of the law
1485	financial intervention
1486	market intervention
1487	invention
1488	investment
1489	investment abroad
1490	EU investment
1491	direct investment
1492	foreign investment
1493	industrial investment
1494	international investment
1495	private investment
1496	public investment
1497	regional investment
1498	breach of domicile
1499	iodine
1500	Iraq
1501	Iran
1502	Irian Jaya
1503	arrangement of working time
1504	Ireland
1505	Northern Ireland
1506	regions of Ireland
1507	UN Research Institute for Social Development
1508	Islam
1509	Iceland
1510	ISO
1511	isoglucose
1512	insulator
1513	forestry development
1514	building insulation
1515	sound insulation
1516	thermal insulation
1517	isolationism
1518	Israel
1519	Italy
1520	regions of Italy
1521	fallow
1522	Jamaica
1523	hydraulic works
1524	Japan
1525	kitchen garden
1526	Java
1527	game of chance
1528	young person
1529	young worker
1530	Olympic games
1531	Joint European Torus
1532	Jordan
1533	Official Journal
1534	water management in agriculture
1535	continuous working day
1536	Judaism
1537	judge
1538	ruling
1539	administrative court
1540	court of civil jurisdiction
1541	court having special jurisdiction
1542	rural development
1543	ordinary court of law
1544	military court
1545	criminal court
1546	juvenile court
1547	social court
1548	higher court
1549	fine
1550	case-law
1551	case law (EU)
1552	fruit juice
1553	vegetable juice
1554	jute
1555	Cambodia
1556	kapok
1557	Kenya
1558	amendment
1559	Kiribati
1560	Kuwait
1561	Réunion
1562	quality label
1563	lactose
1564	wool
1565	milk
1566	drinking milk
1567	trade agreement
1568	concentrated milk
1569	raw milk
1570	skimmed milk
1571	powdered milk
1572	whole milk
1573	fermented milk
1574	homogenised milk
1575	pasteurised milk
1576	sterilised milk
1577	soil conditioning
1578	launching of a product
1579	Federation State
1580	language
1581	foreign language
1582	mother tongue
1583	Languedoc-Roussillon
1584	Laos
1585	rabbit
1586	Latium
1587	America
1588	legality
1589	legislation
1590	foodstuffs legislation
1591	anti-dumping legislation
1592	anti-trust legislation
1593	delegated legislation
1594	pharmaceutical legislation
1595	plant health legislation
1596	health legislation
1597	school legislation
1598	veterinary legislation
1599	legislative period
1600	self-defence
1601	legitimacy
1602	vegetable
1603	bulb vegetable
1604	leaf vegetable
1605	fruit vegetable
1606	Central America
1607	root vegetable
1608	fresh vegetable
1609	leguminous vegetable
1610	Leinster
1611	Lesotho
1612	animal leucosis
1613	Lebanon
1614	Liberalism
1615	North America
1616	liberalisation of trade
1617	Liberia
1618	freedom of association
1619	freedom of expression
1620	freedom of opinion
1621	freedom of communication
1622	freedom of the press
1623	freedom of navigation
1624	South America
1625	freedom of assembly
1626	freedom of trade
1627	freedom to work
1628	freedom of religious beliefs
1629	bookshop
1630	free movement of capital
1631	free movement of goods
1632	Latin America
1633	free movement of persons
1634	free movement of workers
1635	free competition
1636	freedom of self-determination
1637	free circulation
1638	freedom to provide services
1639	Libya
1640	patents licence
1641	trade licence
1642	export licence
1643	asbestos
1644	import licence
1645	transport licence
1646	dismissal
1647	collective dismissal
1648	redundancy
1649	Liechtenstein
1650	cork
1651	Province of Liège
1652	fishing grounds
1653	workplace
1654	starch
1655	transport lines
1656	lignite
1657	Arab League
1658	Arab League countries
1659	Liguria
1660	Limburg
1661	Province of Limbourg
1662	marketing restriction
1663	association agreement
1664	Amnesty International
1665	aerated drink
1666	Limousin
1667	flax
1668	seed flax
1669	ingot
1670	linguistics
1671	liqueur
1672	liquidation
1673	amortisation
1674	receivership
1675	validation of expenditure
1676	money-market liquidity
1677	international liquidity
1678	fixed party list
1679	electoral register
1680	literature
1681	grey literature
1682	redemption of public debt
1683	littoral
1684	delivery
1685	energy site
1686	location of production
1687	property leasing
1688	hire purchase
1689	lockout
1690	housing
1691	illiteracy
1692	multi-storey dwelling
1693	single-family housing
1694	substandard housing
1695	subsidised housing
1696	software
1697	legal rule
1698	finance act
1699	outline law
1700	leisure
1701	Lombardy
1702	Lorraine
1703	low rent
1704	lubricants
1705	toy library
1706	fire protection
1707	pollution control measures
1708	fight against crime
1709	fight against wastage
1710	class struggle
1711	cost-benefit analysis
1712	Luxembourg
1713	Province of Luxembourg
1714	lucerne
1715	freeze-drying
1716	Macao
1717	Macedonia
1718	machinery
1719	agricultural machinery
1720	office equipment
1721	cost-effectiveness analysis
1722	harvester
1723	hydraulic machinery
1724	machine tool
1725	pneumatic machinery
1726	textile machine
1727	Mashreq
1728	macroeconomics
1729	Madagascar
1730	Madeira
1731	input-output analysis
1732	supermarket
1733	discount store
1734	Maghreb
1735	magistrate
1736	magnesium
1737	labour force
1738	agricultural labour force
1739	family worker
1740	female worker
1741	water analysis
1742	job preservation
1743	peacekeeping
1744	maize
1745	publisher
1746	absolute majority
1747	age of majority
1748	majority voting
1749	political majority
